pattern,html_path,pdf_path,location,symmetry,website,set
ROMAN4,html/data191/ROMAN4.html,contents/data191/ROMAN4.pdf,"Roman mosaic, Ostie",p4,https://tilingsearch.mit.edu/HTML/data191/ROMAN4.html,set2
ROMAN48,html/data191/ROMAN48.html,contents/data191/ROMAN48.pdf,"Roman mosaic, Italica",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN48.html,set3
ROMAN64,html/data191/ROMAN64.html,contents/data191/ROMAN64.pdf,"Roman mosaic, Campanie",p4g,https://tilingsearch.mit.edu/HTML/data191/ROMAN64.html,set2
ROMAN115,html/data191/ROMAN115.html,contents/data191/ROMAN115.pdf,"Roman mosaic, Autun",p6m,https://tilingsearch.mit.edu/HTML/data191/ROMAN115.html,set2
ROMAN33,html/data191/ROMAN33.html,contents/data191/ROMAN33.pdf,"Roman mosaic, Serravalle Scrivia",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN33.html,set3
ROMAN103,html/data191/ROMAN103.html,contents/data191/ROMAN103.pdf,"Roman mosaic, Eressos and Antioche",p4,https://tilingsearch.mit.edu/HTML/data191/ROMAN103.html,set2
FIG8,html/data191/FIG8.html,contents/data191/FIG8.pdf,"Alhambra, Patio de los Arrayanes",cmm,https://tilingsearch.mit.edu/HTML/data191/FIG8.html,set2
ROMAN25,html/data191/ROMAN25.html,contents/data191/ROMAN25.pdf,"Roman mosaic, Treves",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN25.html,set2
ROMAN72,html/data191/ROMAN72.html,contents/data191/ROMAN72.pdf,"Roman mosaic, Orange",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN72.html,set2
FEZ6,html/data191/FEZ6.html,contents/data191/FEZ6.pdf,Fez motif,p4m,https://tilingsearch.mit.edu/HTML/data191/FEZ6.html,set2
ROMAN7,html/data191/ROMAN7.html,contents/data191/ROMAN7.pdf,"Roman mosaic, Ostie",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN7.html,set3
ROMAN67,html/data191/ROMAN67.html,contents/data191/ROMAN67.pdf,"Roman mosaic, Yvonand",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN67.html,set2
ROMAN88,html/data191/ROMAN88.html,contents/data191/ROMAN88.pdf,"Roman mosaic, Split and Grado",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN88.html,set2
ROMAN30,html/data191/ROMAN30.html,contents/data191/ROMAN30.pdf,"Roman mosaic, Aquitee",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN30.html,set2
ROMAN100,html/data191/ROMAN100.html,contents/data191/ROMAN100.pdf,"Roman mosaic, Larresingle",p4,https://tilingsearch.mit.edu/HTML/data191/ROMAN100.html,set2
ROMAN26,html/data191/ROMAN26.html,contents/data191/ROMAN26.pdf,"Roman mosaic, Lucus Feroniae",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN26.html,set3
ROMAN71,html/data191/ROMAN71.html,contents/data191/ROMAN71.pdf,"Roman mosaic, Haghia Trias",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN71.html,set3
ROMAN120,html/data191/ROMAN120.html,contents/data191/ROMAN120.pdf,"Roman mosaic, Carthage",p6,https://tilingsearch.mit.edu/HTML/data191/ROMAN120.html,set3
ROMAN51,html/data191/ROMAN51.html,contents/data191/ROMAN51.pdf,"Roman mosaic, Hemsworth",cmm,https://tilingsearch.mit.edu/HTML/data191/ROMAN51.html,set3
ROMAN10,html/data191/ROMAN10.html,contents/data191/ROMAN10.pdf,"Roman mosaic, Utique",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN10.html,set3
ROMAN84,html/data191/ROMAN84.html,contents/data191/ROMAN84.pdf,"Roman mosaic, Perigueux",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN84.html,set2
FIG7,html/data191/FIG7.html,contents/data191/FIG7.pdf,"Alhambra, Patio de los Arrayanes",p4m,https://tilingsearch.mit.edu/HTML/data191/FIG7.html,set1
ROMAN92,html/data191/ROMAN92.html,contents/data191/ROMAN92.pdf,"Roman mosaic, Cride",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN92.html,set3
FIG6,html/data191/FIG6.html,contents/data191/FIG6.pdf,Sitorai-Mokhi-Khosa Palace,p6m,https://tilingsearch.mit.edu/HTML/data191/FIG6.html,set2
ROMAN85,html/data191/ROMAN85.html,contents/data191/ROMAN85.pdf,"Roman mosaic, Djebel",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN85.html,set3
ROMAN11,html/data191/ROMAN11.html,contents/data191/ROMAN11.pdf,"Roman mosaic, Vaison-la-Romaine",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN11.html,set2
ROMAN50,html/data191/ROMAN50.html,contents/data191/ROMAN50.pdf,"Roman mosaic, Rome",pgg,https://tilingsearch.mit.edu/HTML/data191/ROMAN50.html,set2
ROMAN121,html/data191/ROMAN121.html,contents/data191/ROMAN121.pdf,"Roman mosaic, Saint-Romain-en-Gal",p6m,https://tilingsearch.mit.edu/HTML/data191/ROMAN121.html,set2
ROMAN70,html/data191/ROMAN70.html,contents/data191/ROMAN70.pdf,"Roman mosaic, Tebessa",p4,https://tilingsearch.mit.edu/HTML/data191/ROMAN70.html,set2
ROMAN27,html/data191/ROMAN27.html,contents/data191/ROMAN27.pdf,"Roman mosaic, Tipasa",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN27.html,set2
ROMAN101,html/data191/ROMAN101.html,contents/data191/ROMAN101.pdf,"Roman mosaic, Thina",p2,https://tilingsearch.mit.edu/HTML/data191/ROMAN101.html,set3
ROMAN31,html/data191/ROMAN31.html,contents/data191/ROMAN31.pdf,"Roman mosaic, M'rikeb Thala",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN31.html,set3
ROMAN117,html/data191/ROMAN117.html,contents/data191/ROMAN117.pdf,"Roman mosaic, Ostie",p6m,https://tilingsearch.mit.edu/HTML/data191/ROMAN117.html,set3
ROMAN66,html/data191/ROMAN66.html,contents/data191/ROMAN66.pdf,"Roman mosaic, Badalona",p4g,https://tilingsearch.mit.edu/HTML/data191/ROMAN66.html,set3
ROMAN89,html/data191/ROMAN89.html,contents/data191/ROMAN89.pdf,"Roman mosaic, Djemila",cmm,https://tilingsearch.mit.edu/HTML/data191/ROMAN89.html,set3
ROMAN6,html/data191/ROMAN6.html,contents/data191/ROMAN6.pdf,"Roman mosaic, Rome",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN6.html,set2
FEZ7,html/data191/FEZ7.html,contents/data191/FEZ7.pdf,Fez motif,p4m,https://tilingsearch.mit.edu/HTML/data191/FEZ7.html,set1
ROMAN126,html/data191/ROMAN126.html,contents/data191/ROMAN126.pdf,"Roman mosaic, Sens",cmm,https://tilingsearch.mit.edu/HTML/data191/ROMAN126.html,set3
ROMAN57,html/data191/ROMAN57.html,contents/data191/ROMAN57.pdf,"Roman mosaic, Bordeaux",pmm,https://tilingsearch.mit.edu/HTML/data191/ROMAN57.html,set3
ROMAN41,html/data191/ROMAN41.html,contents/data191/ROMAN41.pdf,"Roman mosaic, Acholla",p4g,https://tilingsearch.mit.edu/HTML/data191/ROMAN41.html,set2
ROMAN16,html/data191/ROMAN16.html,contents/data191/ROMAN16.pdf,"Roman mosaic, Amiens",p4,https://tilingsearch.mit.edu/HTML/data191/ROMAN16.html,set2
ROMAN82,html/data191/ROMAN82.html,contents/data191/ROMAN82.pdf,"Roman mosaic, Liedena",cmm,https://tilingsearch.mit.edu/HTML/data191/ROMAN82.html,set2
ROMAN94,html/data191/ROMAN94.html,contents/data191/ROMAN94.pdf,"Roman mosaic, Ostie",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN94.html,set2
ROMAN1,html/data191/ROMAN1.html,contents/data191/ROMAN1.pdf,"Roman mosaic, Rome",cmm,https://tilingsearch.mit.edu/HTML/data191/ROMAN1.html,set2
ROMAN61,html/data191/ROMAN61.html,contents/data191/ROMAN61.pdf,"Roman mosaic, Barcelone",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN61.html,set2
ROMAN110,html/data191/ROMAN110.html,contents/data191/ROMAN110.pdf,"Roman mosaic, Sainte-Colombe",pmm,https://tilingsearch.mit.edu/HTML/data191/ROMAN110.html,set3
ROMAN36,html/data191/ROMAN36.html,contents/data191/ROMAN36.pdf,"Roman mosaic, Piazza Armerina",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN36.html,set2
ROMAN106,html/data191/ROMAN106.html,contents/data191/ROMAN106.pdf,"Roman mosaic, Ouzouer-sur-Trezee",cmm,https://tilingsearch.mit.edu/HTML/data191/ROMAN106.html,set2
ROMAN20,html/data191/ROMAN20.html,contents/data191/ROMAN20.pdf,"Roman mosaic, Torre de Palma",p4,https://tilingsearch.mit.edu/HTML/data191/ROMAN20.html,set3
ROMAN98,html/data191/ROMAN98.html,contents/data191/ROMAN98.pdf,"Roman mosaic, Canosa",p4g,https://tilingsearch.mit.edu/HTML/data191/ROMAN98.html,set2
ROMAN76,html/data191/ROMAN76.html,contents/data191/ROMAN76.pdf,"Roman mosaic, Paphos",pmm,https://tilingsearch.mit.edu/HTML/data191/ROMAN76.html,set2
ROMAN21,html/data191/ROMAN21.html,contents/data191/ROMAN21.pdf,"Roman mosaic, Aquilee",p4,https://tilingsearch.mit.edu/HTML/data191/ROMAN21.html,set2
ROMAN107,html/data191/ROMAN107.html,contents/data191/ROMAN107.pdf,"Roman mosaic, Pompei",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN107.html,set3
ROMAN37,html/data191/ROMAN37.html,contents/data191/ROMAN37.pdf,"Roman mosaic, Anse",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN37.html,set3
ROMAN111,html/data191/ROMAN111.html,contents/data191/ROMAN111.pdf,"Roman mosaic, Aquilee and Lyon",pmg,https://tilingsearch.mit.edu/HTML/data191/ROMAN111.html,set2
ROMAN60,html/data191/ROMAN60.html,contents/data191/ROMAN60.pdf,"Roman mosaic, Aquilee",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN60.html,set3
ROMAN95,html/data191/ROMAN95.html,contents/data191/ROMAN95.pdf,"Roman mosaic, Volubilis",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN95.html,set3
ROMAN83,html/data191/ROMAN83.html,contents/data191/ROMAN83.pdf,"Roman mosaic, Castrum Novum",p4m,https://tilingsearch.mit.edu/HTML/data191/ROMAN83.html,set3
ROMAN17,html/data191/ROMAN17.html,contents/data191/ROMAN17.pdf,"Roman mosaic, Rhodes",p4,https://tilingsearch.mit.edu/HTML/data191/ROMAN17.html,set3
ROMAN40,html/data191/ROMAN40.html,contents/data191/ROMAN40.pdf,"Roman mosaic, Delphes",p4,https://tilingsearch.mit.edu/HTML/data191/ROMAN40.html,set3
ROMAN56,html/data191/ROMAN56.html,contents/data191/ROMAN56.pdf,"Roman mosaic, Merida",pm,https://tilingsearch.mit.edu/HTML/data191/ROMAN56.html,set2
ROMAN127,html/data191/ROMAN127.html,contents/data191/ROMAN127.pdf,"Roman mosaic, Tacherting",cmm,https://tilingsearch.mit.edu/HTML/data191/ROMAN127.html,set2
P064,html/data11/P064.html,contents/data11/P064.pdf,"Bourgoin, Plate 64",p4m,https://tilingsearch.mit.edu/HTML/data11/P064.html,set3
P091,html/data11/P091.html,contents/data11/P091.pdf,"Bourgoin, Plate 91",p6m,https://tilingsearch.mit.edu/HTML/data11/P091.html,set2
P052,html/data11/P052.html,contents/data11/P052.pdf,"Bourgoin, Plate 52",cmm,https://tilingsearch.mit.edu/HTML/data11/P052.html,set3
P100,html/data11/P100.html,contents/data11/P100.pdf,"Bourgoin, Plate 100",p6m,https://tilingsearch.mit.edu/HTML/data11/P100.html,set2
P069,html/data11/P069.html,contents/data11/P069.pdf,"Bourgoin, Plate 69",p6m,https://tilingsearch.mit.edu/HTML/data11/P069.html,set2
P054,html/data11/P054.html,contents/data11/P054.pdf,"Bourgoin, Plate 54",p4m,https://tilingsearch.mit.edu/HTML/data11/P054.html,set3
P063,html/data11/P063.html,contents/data11/P063.pdf,"Bourgoin, Plate 63",pmm,https://tilingsearch.mit.edu/HTML/data11/P063.html,set2
P055,html/data11/P055.html,contents/data11/P055.pdf,"Bourgoin, Plate 55",p4m,https://tilingsearch.mit.edu/HTML/data11/P055.html,set2
P090B,html/data11/P090B.html,contents/data11/P090B.pdf,"Bourgoin, Plate 90, bottom",p6m,https://tilingsearch.mit.edu/HTML/data11/P090B.html,set2
P096,html/data11/P096.html,contents/data11/P096.pdf,"Bourgoin, Plate 96",p6m,https://tilingsearch.mit.edu/HTML/data11/P096.html,set3
P090T,html/data11/P090T.html,contents/data11/P090T.pdf,"Bourgoin, Plate 90, top",p6m,https://tilingsearch.mit.edu/HTML/data11/P090T.html,set3
P060,html/data11/P060.html,contents/data11/P060.pdf,"Bourgoin, Plate 60",p4m,https://tilingsearch.mit.edu/HTML/data11/P060.html,set2
P094,html/data11/P094.html,contents/data11/P094.pdf,"Bourgoin, Plate 94",p4m,https://tilingsearch.mit.edu/HTML/data11/P094.html,set3
P089,html/data11/P089.html,contents/data11/P089.pdf,"Bourgoin, Plate 89, top",p6m,https://tilingsearch.mit.edu/HTML/data11/P089.html,set2
P085,html/data11/P085.html,contents/data11/P085.pdf,"Bourgoin, Plate 85",p6m,https://tilingsearch.mit.edu/HTML/data11/P085.html,set3
P093,html/data11/P093.html,contents/data11/P093.pdf,"Bourgoin, Plate 93",p6m,https://tilingsearch.mit.edu/HTML/data11/P093.html,set2
P092,html/data11/P092.html,contents/data11/P092.pdf,"Bourgoin, Plate 92",p6m,https://tilingsearch.mit.edu/HTML/data11/P092.html,set3
P051,html/data11/P051.html,contents/data11/P051.pdf,"Bourgoin, Plate 51",cmm,https://tilingsearch.mit.edu/HTML/data11/P051.html,set2
P067,html/data11/P067.html,contents/data11/P067.pdf,"Bourgoin, Plate 67",p4m,https://tilingsearch.mit.edu/HTML/data11/P067.html,set3
DW4,html/data214/DW4.html,contents/data214/DW4.pdf,Agra Fort,p4m,https://tilingsearch.mit.edu/HTML/data214/DW4.html,set1
DW8,html/data214/DW8.html,contents/data214/DW8.pdf,"Maharajah's Palace, Jaipur",p6m,https://tilingsearch.mit.edu/HTML/data214/DW8.html,set1
BVIII,html/data214/BVIII.html,contents/data214/BVIII.pdf,"Le trait des entrelacs 1879, Plate VIII (main motif)",p4,https://tilingsearch.mit.edu/HTML/data214/BVIII.html,set1
DW5,html/data214/DW5.html,contents/data214/DW5.pdf,"Agra Fort, Agra",pmm,https://tilingsearch.mit.edu/HTML/data214/DW5.html,set1
DW2,html/data214/DW2.html,contents/data214/DW2.pdf,"Sabil-Kuttab, Qaytbay, Cairo",p6,https://tilingsearch.mit.edu/HTML/data214/DW2.html,set1
DW10,html/data214/DW10.html,contents/data214/DW10.pdf,"Royal Mosque, Isfahan",p4m,https://tilingsearch.mit.edu/HTML/data214/DW10.html,set1
MIR13,html/data214/MIR13.html,contents/data214/MIR13.pdf,"Topkapi Scroll, page 306, Figure 38",p6m,https://tilingsearch.mit.edu/HTML/data214/MIR13.html,set3
ARCH1,html/data214/ARCH1.html,contents/data214/ARCH1.pdf,"Mausoleum of Sultan Oljeitu, Sultaniyeh",p4m,https://tilingsearch.mit.edu/HTML/data214/ARCH1.html,set1
DW10A,html/data214/DW10A.html,contents/data214/DW10A.pdf,"Royal Mosque, Isfahan",p4m,https://tilingsearch.mit.edu/HTML/data214/DW10A.html,set1
WD14,html/data214/WD14.html,contents/data214/WD14.pdf,"Mausoleum of Sultan Oljeitu, Sultaniyeh",p6m,https://tilingsearch.mit.edu/HTML/data214/WD14.html,set2
MIR11,html/data214/MIR11.html,contents/data214/MIR11.pdf,"Zal Mosque, Eyup",pmg,https://tilingsearch.mit.edu/HTML/data214/MIR11.html,set2
WD13,html/data214/WD13.html,contents/data214/WD13.pdf,"Mausoleum of Sultan Oljeitu, Sultaniyeh",p6,https://tilingsearch.mit.edu/HTML/data214/WD13.html,set3
DW6,html/data214/DW6.html,contents/data214/DW6.pdf,"Akbar's mausoleum, Sikandra - Redrawn",p4m,https://tilingsearch.mit.edu/HTML/data214/DW6.html,set1
MIR16,html/data214/MIR16.html,contents/data214/MIR16.pdf,"Mihrimah Sultan Mosque, Uskudar",pmm,https://tilingsearch.mit.edu/HTML/data214/MIR16.html,set2
SK4,html/data214/SK4.html,contents/data214/SK4.pdf,Bimaristan Arghun al-Kamili,p6,https://tilingsearch.mit.edu/HTML/data214/SK4.html,set2
P139,html/data214/P139.html,contents/data214/P139.pdf,"al-Qadi Yahya, Cairo",p6m,https://tilingsearch.mit.edu/HTML/data214/P139.html,set3
MIR17,html/data214/MIR17.html,contents/data214/MIR17.pdf,"Mihrimah Sultan Mosque, Uskudar",pmm,https://tilingsearch.mit.edu/HTML/data214/MIR17.html,set3
IND0405,html/data214/IND0405.html,contents/data214/IND0405.pdf,Agra Fort,p6m,https://tilingsearch.mit.edu/HTML/data214/IND0405.html,set3
DW7,html/data214/DW7.html,contents/data214/DW7.pdf,"Tomb of Salim Chisti, Fatehpur Sikri",pmm,https://tilingsearch.mit.edu/HTML/data214/DW7.html,set1
LD1,html/data213/LD1.html,contents/data213/LD1.pdf,India,p6m,https://tilingsearch.mit.edu/HTML/data213/LD1.html,set2
OR1,html/data213/OR1.html,contents/data213/OR1.pdf,"Chehel Sotoun Palace, Isfahan",cmm,https://tilingsearch.mit.edu/HTML/data213/OR1.html,set3
MIR6,html/data213/MIR6.html,contents/data213/MIR6.pdf,"Camlica Mosque, Istanbul",cmm,https://tilingsearch.mit.edu/HTML/data213/MIR6.html,set3
MIR10,html/data213/MIR10.html,contents/data213/MIR10.pdf,Sarajevo City Hall,p6m,https://tilingsearch.mit.edu/HTML/data213/MIR10.html,set3
MIR9,html/data213/MIR9.html,contents/data213/MIR9.pdf,"Selimiye Mosque, Edirne",pmm,https://tilingsearch.mit.edu/HTML/data213/MIR9.html,set3
BON103,html/data213/BON103.html,contents/data213/BON103.pdf,"Great Mosque, Van",p4m,https://tilingsearch.mit.edu/HTML/data213/BON103.html,set1
BON59,html/data212/BON59.html,contents/data212/BON59.pdf,"Gawhar Shad madrasah and mausoleum, Herat",p4m,https://tilingsearch.mit.edu/HTML/data212/BON59.html,set1
BON121,html/data212/BON121.html,contents/data212/BON121.pdf,"Great Mosque, Divrigi",pmm,https://tilingsearch.mit.edu/HTML/data212/BON121.html,set1
BON22,html/data212/BON22.html,contents/data212/BON22.pdf,"Agzikara, Han Aksaray",p4m,https://tilingsearch.mit.edu/HTML/data212/BON22.html,set1
BON101,html/data212/BON101.html,contents/data212/BON101.pdf,"Qawtawiyya madrasah, Tripoli",cmm,https://tilingsearch.mit.edu/HTML/data212/BON101.html,set1
BON96,html/data212/BON96.html,contents/data212/BON96.pdf,Karatay Han,pmm,https://tilingsearch.mit.edu/HTML/data212/BON96.html,set1
BON78,html/data212/BON78.html,contents/data212/BON78.pdf,"Alhambra, Salon de Comares",p4m,https://tilingsearch.mit.edu/HTML/data212/BON78.html,set1
BON100,html/data212/BON100.html,contents/data212/BON100.pdf,"Egirdir Han, Turkey",cmm,https://tilingsearch.mit.edu/HTML/data212/BON100.html,set1
BON23,html/data212/BON23.html,contents/data212/BON23.pdf,"Lower Maqam Ibrahim citadel, Aleppo",pmm,https://tilingsearch.mit.edu/HTML/data212/BON23.html,set1
BON111,html/data212/BON111.html,contents/data212/BON111.pdf,"Synagogue, Toledo",p4m,https://tilingsearch.mit.edu/HTML/data212/BON111.html,set1
BON107,html/data212/BON107.html,contents/data212/BON107.pdf,Quranic illumination,p4m,https://tilingsearch.mit.edu/HTML/data212/BON107.html,set1
BON86,html/data212/BON86.html,contents/data212/BON86.pdf,"Alternative version: al-Azhar mosque, Cairo",pmm,https://tilingsearch.mit.edu/HTML/data212/BON86.html,set1
BON69,html/data212/BON69.html,contents/data212/BON69.pdf,"Bibi-Khanym, Samarkand",cmm,https://tilingsearch.mit.edu/HTML/data212/BON69.html,set1
BON90,html/data212/BON90.html,contents/data212/BON90.pdf,"Ashrafiyya madrasah, Jerusalem",cmm,https://tilingsearch.mit.edu/HTML/data212/BON90.html,set1
BON126,html/data212/BON126.html,contents/data212/BON126.pdf,"Qartawiyya madrasah, Tripoli",p6m,https://tilingsearch.mit.edu/HTML/data212/BON126.html,set1
BON87,html/data212/BON87.html,contents/data212/BON87.pdf,"Kuluk mosque, Kayseri",pmm,https://tilingsearch.mit.edu/HTML/data212/BON87.html,set1
BON68,html/data212/BON68.html,contents/data212/BON68.pdf,Painted Mamluk ceiling,p4m,https://tilingsearch.mit.edu/HTML/data212/BON68.html,set1
BON110,html/data212/BON110.html,contents/data212/BON110.pdf,"Kale mosque, Divrigi",p4m,https://tilingsearch.mit.edu/HTML/data212/BON110.html,set1
BON92,html/data212/BON92.html,contents/data212/BON92.pdf,"Amir Qijmas al-Ishaqi, Cairo",cmm,https://tilingsearch.mit.edu/HTML/data212/BON92.html,set1
BON84,html/data212/BON84.html,contents/data212/BON84.pdf,"Bu 'Inaniyya madrasah, Fez",pmm,https://tilingsearch.mit.edu/HTML/data212/BON84.html,set1
BON105,html/data212/BON105.html,contents/data212/BON105.pdf,"Friday Mosque, Isfahan",p4m,https://tilingsearch.mit.edu/HTML/data212/BON105.html,set1
BON113,html/data212/BON113.html,contents/data212/BON113.pdf,Mausoleum of Uljaytu,pmm,https://tilingsearch.mit.edu/HTML/data212/BON113.html,set1
BON51,html/data212/BON51.html,contents/data212/BON51.pdf,"Badiâ Palace, Marrakesh, Morocco",p4m,https://tilingsearch.mit.edu/HTML/data212/BON51.html,set1
BON88,html/data212/BON88.html,contents/data212/BON88.pdf,"Friday Mosque, Kerman",pmm,https://tilingsearch.mit.edu/HTML/data212/BON88.html,set1
BON125,html/data212/BON125.html,contents/data212/BON125.pdf,Minaret of Jam,p6m,https://tilingsearch.mit.edu/HTML/data212/BON125.html,set1
BON109,html/data212/BON109.html,contents/data212/BON109.pdf,"Ahlat gravestone, Turkey",p6m,https://tilingsearch.mit.edu/HTML/data212/BON109.html,set1
BON89,html/data212/BON89.html,contents/data212/BON89.pdf,"Huand Hatun complex, Kayseri",cm,https://tilingsearch.mit.edu/HTML/data212/BON89.html,set1
BON104,html/data212/BON104.html,contents/data212/BON104.pdf,"Bourgoin, Plate 163",p4m,https://tilingsearch.mit.edu/HTML/data212/BON104.html,set1
BON85,html/data212/BON85.html,contents/data212/BON85.pdf,"Yusuf ben Yakub madrasah, Cay, Turkey",pmm,https://tilingsearch.mit.edu/HTML/data212/BON85.html,set1
BON77,html/data212/BON77.html,contents/data212/BON77.pdf,"Hekim Bey mosque, Konya",cmm,https://tilingsearch.mit.edu/HTML/data212/BON77.html,set1
BON94,html/data212/BON94.html,contents/data212/BON94.pdf,"Izzeddin Kaykavus hospital and mausoleum, Sivas",pmm,https://tilingsearch.mit.edu/HTML/data212/BON94.html,set1
BON82,html/data212/BON82.html,contents/data212/BON82.pdf,"Mustansiriyah madrasah, Baghdad",cmm,https://tilingsearch.mit.edu/HTML/data212/BON82.html,set1
BON102,html/data212/BON102.html,contents/data212/BON102.pdf,"Amir Qijmas al-Ishaqi, Cairo",cmm,https://tilingsearch.mit.edu/HTML/data212/BON102.html,set1
BON83,html/data212/BON83.html,contents/data212/BON83.pdf,"Amir Qijmas al-Ishaqi, Cairo",cmm,https://tilingsearch.mit.edu/HTML/data212/BON83.html,set1
BON95,html/data212/BON95.html,contents/data212/BON95.pdf,Karatay Han,pmm,https://tilingsearch.mit.edu/HTML/data212/BON95.html,set1
IRA1,html/data212/IRA1.html,contents/data212/IRA1.pdf,"Seyyed mosque, Isfahan",cmm,https://tilingsearch.mit.edu/HTML/data212/IRA1.html,set3
BON99,html/data212/BON99.html,contents/data212/BON99.pdf,"Alaeddin mosque, Nidge",cmm,https://tilingsearch.mit.edu/HTML/data212/BON99.html,set1
MIR18,html/data215/MIR18.html,contents/data215/MIR18.pdf,Darb-i Imam,cmm,https://tilingsearch.mit.edu/HTML/data215/MIR18.html,set2
MB4,html/data215/MB4.html,contents/data215/MB4.pdf,"Cifte minareli madrasah, Sivas",p6m,https://tilingsearch.mit.edu/HTML/data215/MB4.html,set2
MIR14,html/data215/MIR14.html,contents/data215/MIR14.pdf,"Hakim mosque, Isfahan",pmm,https://tilingsearch.mit.edu/HTML/data215/MIR14.html,set2
MIR15,html/data215/MIR15.html,contents/data215/MIR15.pdf,Turkman village near Samarkand,p4m,https://tilingsearch.mit.edu/HTML/data215/MIR15.html,set3
MIR19,html/data215/MIR19.html,contents/data215/MIR19.pdf,"After: Dar el Bacha Palace, Marrakesh",p4g,https://tilingsearch.mit.edu/HTML/data215/MIR19.html,set3
MB2,html/data215/MB2.html,contents/data215/MB2.pdf,"Hunat hatun tomb, Kayseri",p4,https://tilingsearch.mit.edu/HTML/data215/MB2.html,set2
MB3,html/data215/MB3.html,contents/data215/MB3.pdf,"Tas Han, Cay",p6m,https://tilingsearch.mit.edu/HTML/data215/MB3.html,set3
SK12,html/data215/SK12.html,contents/data215/SK12.pdf,"The Citadel, Aleppo",p4m,https://tilingsearch.mit.edu/HTML/data215/SK12.html,set3
AL3,html/data215/AL3.html,contents/data215/AL3.pdf,"Alhambra drawing, Salon de Comares",p4m,https://tilingsearch.mit.edu/HTML/data215/AL3.html,set1
VAN1,html/data215/VAN1.html,contents/data215/VAN1.pdf,"Great mosque, Van",p6m,https://tilingsearch.mit.edu/HTML/data215/VAN1.html,set3
MIR20,html/data215/MIR20.html,contents/data215/MIR20.pdf,"Sultan Ahmed Mosque, Istanbul",cmm,https://tilingsearch.mit.edu/HTML/data215/MIR20.html,set3
MB7,html/data215/MB7.html,contents/data215/MB7.pdf,"Sultan Han,",p6m,https://tilingsearch.mit.edu/HTML/data215/MB7.html,set2
AL4,html/data215/AL4.html,contents/data215/AL4.pdf,"Alhambra, BaÃ±o Real",p4m,https://tilingsearch.mit.edu/HTML/data215/AL4.html,set1
MIR21,html/data215/MIR21.html,contents/data215/MIR21.pdf,"Tomb of Iwan Skwarcov, Warsaw",p4m,https://tilingsearch.mit.edu/HTML/data215/MIR21.html,set2
BELL1A,html/data215/BELL1A.html,contents/data215/BELL1A.pdf,"Fatehpur Sikri, Friday Mosque",p6m,https://tilingsearch.mit.edu/HTML/data215/BELL1A.html,set1
MM1,html/data206/MM1.html,contents/data206/MM1.pdf,"Ibn Battuta Mall, Dubai",p6m,https://tilingsearch.mit.edu/HTML/data206/MM1.html,set2
SM7,html/data206/SM7.html,contents/data206/SM7.pdf,Fatehpur Sikri,p4m,https://tilingsearch.mit.edu/HTML/data206/SM7.html,set2
S14A,html/data206/S14A.html,contents/data206/S14A.pdf,Isfahan - Chehel Sotoun Palace,p6m,https://tilingsearch.mit.edu/HTML/data206/S14A.html,set2
SM10,html/data206/SM10.html,contents/data206/SM10.pdf,"Fatehpur Sikri, Salim Chishti's Tomb",p6m,https://tilingsearch.mit.edu/HTML/data206/SM10.html,set2
IND1016,html/data206/IND1016.html,contents/data206/IND1016.pdf,"Maharajah's Palace, Jaipur",p6m,https://tilingsearch.mit.edu/HTML/data206/IND1016.html,set3
SM30,html/data206/SM30.html,contents/data206/SM30.pdf,Fatehpur Sikri,p6m,https://tilingsearch.mit.edu/HTML/data206/SM30.html,set2
SM27,html/data206/SM27.html,contents/data206/SM27.pdf,Fatehpur Sikri,p4m,https://tilingsearch.mit.edu/HTML/data206/SM27.html,set2
SM31,html/data206/SM31.html,contents/data206/SM31.pdf,Fatehpur Sikri,p4,https://tilingsearch.mit.edu/HTML/data206/SM31.html,set3
